,Signal_Fac,coverage_naive,coverage_split50,coverage_split67,coverage_split33,coverage_posi50,coverage_posi67,coverage_posi33,length_naive,length_split50,length_split67,length_split33,length_posi50,length_posi67,length_posi33,nnz_naive,nnz_split50,nnz_split67,nnz_split33,nnz_posi50,nnz_posi67,nnz_posi33,tp_naive,tp_split50,tp_split67,tp_split33,tp_posi50,tp_posi67,tp_posi33,tn_naive,tn_split50,tn_split67,tn_split33,tn_posi50,tn_posi67,tn_posi33,fp_naive,fp_split50,fp_split67,fp_split33,fp_posi50,fp_posi67,fp_posi33,fn_naive,fn_split50,fn_split67,fn_split33,fn_posi50,fn_posi67,fn_posi33,posttp_naive,posttp_split50,posttp_split67,posttp_split33,posttp_posi50,posttp_posi67,posttp_posi33,posttn_naive,posttn_split50,posttn_split67,posttn_split33,posttn_posi50,posttn_posi67,posttn_posi33,postfp_naive,postfp_split50,postfp_split67,postfp_split33,postfp_posi50,postfp_posi67,postfp_posi33,postfn_naive,postfn_split50,postfn_split67,postfn_split33,postfn_posi50,postfn_posi67,postfn_posi33,msetarget_naive,msetarget_split50,msetarget_split67,msetarget_split33,msetarget_posi50,msetarget_posi67,msetarget_posi33,msetruth_naive,msetruth_split50,msetruth_split67,msetruth_split33,msetruth_posi50,msetruth_posi67,msetruth_posi33,runtime_naive,runtime_split50,runtime_split67,runtime_split33,runtime_posi50,runtime_posi67,runtime_posi33,postcoverage_naive,postcoverage_split50,postcoverage_split67,postcoverage_split33,postcoverage_posi50,postcoverage_posi67,postcoverage_posi33,cseed
0,0.2,,0.8,1.0,0.8571428571428571,,1.0,1.0,,14.161669180382324,17.228764578421558,12.116066268281523,,19.630513693848293,12.656154557101411,0,5,2,7,0,2,6,0,1,0,0,0,0,0,95,91,93,88,95,93,89,0,4,2,7,0,2,6,5,4,5,5,5,5,5,0,0,0,0,0,0,0,95,95,94,94,95,95,95,0,0,1,1,0,0,0,5,5,5,5,5,5,5,,24.555437903663446,55.60423962167343,16.728299198059805,,8.776137879186122,2.579898891473871,0.8289306334778566,1.9476459519083364,2.0077334424212117,1.9053136926444196,0.8289306334778566,0.956319799592861,1.0083743039310524,0.3141125200781971,2.132636170834303,2.312153165927157,4.694503863109276,1.2038705481681973,72.16030571796,70.02118736109696,0.95,0.04,0.01,0.06,0.95,0.02,0.06,1986
1,0.2,,1.0,1.0,1.0,1.0,,1.0,,13.967848296043272,17.446049776756873,12.179209014053537,22.173126296224034,,12.496542379208655,0,5,1,4,1,0,9,0,2,1,0,1,0,0,95,92,95,91,95,95,86,0,3,0,4,0,0,9,5,3,4,5,4,5,5,0,0,0,0,0,0,0,95,95,95,95,95,95,95,0,0,0,0,0,0,0,5,5,5,5,5,5,5,,14.195857080523155,18.950526267891654,12.896593020090165,5.219252286595125,,13.5273556590069,0.8289306334778566,1.3446403589498752,0.8945738530228426,1.3341736288655437,0.7128474589874937,0.8289306334778566,1.8018883542684707,0.1985905400943011,1.7730356990359724,1.475330714136362,1.29309384804219,82.72888284502551,0.4450846300460398,774.353970878059,0.95,0.05,0.01,0.04,0.01,0.95,0.09,1987
2,0.2,,1.0,1.0,1.0,1.0,1.0,1.0,,14.285042959776717,16.009492716065907,12.0720817868822,15.663760786933643,27.057322351840398,12.793407780823637,0,4,1,10,4,1,9,0,0,0,0,1,0,2,95,91,94,85,92,94,88,0,4,1,10,3,1,7,5,5,5,5,4,5,3,0,0,0,0,0,0,0,95,95,95,95,95,95,95,0,0,0,0,0,0,0,5,5,5,5,5,5,5,,5.212872684128251,0.20833597302324378,4.88782230855084,14.272940112632437,15.95302757238846,4.403325171597673,0.8289306334778566,1.1226687611768535,0.8333249027610006,1.382327937934813,1.1664542591229161,0.9497042797712208,0.9412537470640444,0.44377975910902023,1.7211650849785656,1.06600477010943,1.4537549978122115,50.671080094063655,50.52145658596419,725.0445167440921,0.95,0.04,0.01,0.1,0.04,0.01,0.09,1988
3,0.2,,1.0,,0.8888888888888888,1.0,1.0,0.9,,13.936699662418667,,12.228259312868532,14.986891049228603,28.94276330311126,12.023515150372948,0,3,0,9,5,1,10,0,0,0,0,1,0,1,95,92,95,86,91,94,86,0,3,0,9,4,1,9,5,5,5,5,4,5,4,0,0,0,0,0,0,0,95,95,95,95,95,95,94,0,0,0,0,0,0,1,5,5,5,5,5,5,5,,21.035645060477414,,8.555980128007834,12.241544664835839,8.265523009457843e-06,13.49124238760342,0.8289306334778566,1.5750419831157474,0.8289306334778566,1.5699101846177008,1.244762564802666,0.829145712553153,1.9132833548834003,0.4966151041444391,2.1044089691713452,1.483759192051366,2.464934319956228,135.739867788041,94.46715048910119,700.0819132558536,0.95,0.03,0.95,0.09,0.05,0.01,0.09,1989
4,0.2,,0.5,1.0,1.0,1.0,1.0,0.8571428571428571,,14.100922358843832,18.900001066757646,12.220877814586814,15.205860484246703,41.70194450728168,11.954263334734403,0,2,1,9,4,1,7,0,0,0,1,0,0,0,95,93,94,87,91,94,88,0,2,1,8,4,1,7,5,5,5,4,5,5,5,0,0,0,0,0,0,0,95,94,95,94,95,95,94,0,1,0,1,0,0,1,5,5,5,5,5,5,5,,49.83856910587468,29.73889842354869,9.765987045423914,9.494169201423118,10.75586359806688,18.350701845691848,0.8289306334778566,1.803071183534302,1.0604426357605519,1.5654444808646621,1.2375600475803732,0.9211167986132662,2.0533830539390565,0.15254162717610598,1.9732260410673916,1.4105098659638315,3.4858970169443637,53.741318069864064,30.775792800821364,85.2876716798637,0.95,0.01,0.01,0.08,0.04,0.01,0.06,1990
5,0.2,,1.0,1.0,0.8,1.0,,0.8888888888888888,,14.396389914013142,18.21015178132599,12.23422472749995,25.33553253211127,,12.407357308565011,0,5,1,5,1,0,9,0,0,0,1,1,0,0,95,90,94,91,95,95,86,0,5,1,4,0,0,9,5,5,5,4,4,5,5,0,0,0,1,0,0,0,95,95,95,94,95,95,94,0,0,0,1,0,0,1,5,5,5,4,5,5,5,,21.691050480485412,8.891439048018857,15.024666593624838,0.10361904239984754,,10.918639814972614,0.8289306334778566,1.7415049208844005,0.9560435737188949,1.6715813637896744,0.6638734005615966,0.8289306334778566,1.7816819013725431,0.1842813929542899,2.804459132021293,3.5024329368025064,2.097598860040307,62.97723059006967,0.698100859997794,665.2084269220941,0.95,0.05,0.01,0.04,0.01,0.95,0.08,1991
6,0.2,0.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.8461538461538461,9.820143187611016,14.482702097450819,16.887898914413196,12.243284794976958,14.071041630794316,28.38143237531694,12.735625888628702,1,2,1,12,5,1,13,0,1,0,0,1,0,0,94,94,94,83,91,94,82,1,1,1,12,4,1,13,5,4,5,5,4,5,5,0,0,0,0,0,0,0,94,95,95,94,95,95,93,1,0,0,1,0,0,2,5,5,5,5,5,5,5,73.2072653816559,21.97429598765113,4.928569866569128,10.900072060152173,6.282489708868205,22.738596822459762,15.249823990482966,1.6680458199305008,1.1832863064693695,0.8509835739907208,2.2319203340332563,1.0274350725323975,1.1175895904096447,3.003818501131212,0.15007353108376265,0.2025135811418295,0.5685910249594599,4.20791631587781,158.89751728600822,87.71200646599755,1932.690730822971,0.0,0.02,0.01,0.11,0.05,0.01,0.11,1992
7,0.2,,0.8,1.0,1.0,1.0,1.0,1.0,,14.15638021270951,17.32529802658254,12.108083770484999,14.95235981782867,27.499629780105423,12.383756090133366,0,5,1,7,3,1,4,0,0,0,1,1,0,0,95,90,94,89,93,94,91,0,5,1,6,2,1,4,5,5,5,4,4,5,5,0,0,0,0,0,0,0,95,94,95,95,95,95,95,0,1,0,0,0,0,0,5,5,5,5,5,5,5,,22.682196467015327,5.41171018428505,12.172114561035578,6.040893753084545,7.468951791282185,6.152681729715935,0.8289306334778566,1.8829099529544169,0.9009468618713647,1.621680823530613,0.8408251532641741,0.89343838714328,1.1106657405867701,0.10665031499229372,0.28965936601161957,1.7670688019134104,2.0044158201199025,59.17693212884478,53.05276318383403,160.24791303812526,0.95,0.04,0.01,0.07,0.03,0.01,0.04,1993
8,0.2,0.0,0.5714285714285714,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,10.037458908871653,14.039382727815406,17.640140605115633,12.20410040763268,13.774358424647778,24.60596469767649,12.08753676559715,2,7,3,6,6,1,12,1,2,2,1,4,1,1,94,90,94,90,93,95,84,1,5,1,5,2,0,11,4,3,3,4,1,4,4,1,2,1,1,1,0,1,94,93,95,94,95,95,94,1,2,0,1,0,0,1,4,3,4,4,4,5,4,43.94517101156323,37.08665719477043,64.44307534909407,24.891368924052774,39.35340680211499,30.42989344680534,12.39554816236192,1.5703667410727895,3.06380259373577,2.5832391169135724,2.0139106963435593,2.541344821165393,0.911023145967068,2.1769477247776536,0.5950589410495013,2.2082173521630466,1.3652593700680882,1.1581009409856051,469.8504768849816,91.29748734785244,1448.0987561559305,0.0,0.04,0.02,0.05,0.04,0.01,0.1,1994
9,0.2,0.0,1.0,1.0,0.8333333333333334,0.875,1.0,1.0,9.820143187611023,14.505122959377635,16.623650989544903,12.034840007234067,14.148556668826068,18.935953769633663,12.41073362516792,1,2,1,6,8,2,13,0,0,1,1,1,0,2,94,93,95,90,88,93,84,1,2,0,5,7,2,11,5,5,4,4,4,5,3,0,0,0,0,0,0,1,94,95,95,93,94,95,95,1,0,0,2,1,0,0,5,5,5,5,5,5,4,84.33688990072152,13.77126422590614,24.037643512022203,19.64412586414832,25.97694257040594,20.00362161360821,7.85315559942925,1.7925829051300173,1.154380698265484,0.8777988448513019,2.1162109460451717,2.7925716231850477,1.2900099241829766,1.5643588577924978,1.5128205209039152,2.4148292040918022,2.0974414309021086,3.388210200937465,295.43415723205544,111.21841697301716,1662.6076096389443,0.0,0.02,0.01,0.04,0.07,0.02,0.13,1995
10,0.2,,1.0,1.0,1.0,1.0,1.0,1.0,,13.66838268425423,18.212706521693917,12.504366954723707,15.053675406081716,43.873734711503616,13.33347713379518,0,2,1,2,3,1,4,0,1,0,0,0,0,0,95,94,94,93,92,94,91,0,1,1,2,3,1,4,5,4,5,5,5,5,5,0,0,0,0,0,0,0,95,95,95,95,95,95,95,0,0,0,0,0,0,0,5,5,5,5,5,5,5,,17.237100134636677,14.362046043271922,8.690998630329606,1.4866995332709232,0.7147175284149352,14.241531555929965,0.8289306334778566,1.1094694288547087,1.1766413373719846,1.0650239036181404,0.9284648129303738,0.8615908621906523,1.5014943360184057,1.7646361868828535,2.1836521150544286,2.0074555759783834,3.2513926008250564,78.35597119387239,96.05870040296577,62.941289531998336,0.95,0.02,0.01,0.02,0.03,0.01,0.04,1996
11,0.2,,1.0,1.0,1.0,1.0,1.0,1.0,,14.189182293358604,17.63043589439972,12.418769172333203,15.135268734835128,28.342794269728973,12.905587034427663,0,3,1,1,3,1,5,0,1,0,0,0,0,0,95,93,94,94,92,94,90,0,2,1,1,3,1,5,5,4,5,5,5,5,5,0,0,0,0,0,0,0,95,95,95,95,95,95,95,0,0,0,0,0,0,0,5,5,5,5,5,5,5,,20.886328434384428,44.21798209548834,5.284290740856339,8.24145322387579,21.27804539806906,4.783890790014279,0.8289306334778566,1.1854523593887132,1.45757012561443,0.8630431056386896,1.1190772928804662,0.9911211481556932,1.1534595092228965,0.7178915308322757,1.6013221729081124,1.5729764848947525,1.2483295970596373,77.69591143284924,34.96347647206858,81.05213789595291,0.95,0.03,0.01,0.01,0.03,0.01,0.05,1997
