,Signal_Fac,coverage_naive,coverage_split50,coverage_split67,coverage_split33,coverage_posi50,coverage_posi67,coverage_posi33,length_naive,length_split50,length_split67,length_split33,length_posi50,length_posi67,length_posi33,nnz_naive,nnz_split50,nnz_split67,nnz_split33,nnz_posi50,nnz_posi67,nnz_posi33,tp_naive,tp_split50,tp_split67,tp_split33,tp_posi50,tp_posi67,tp_posi33,tn_naive,tn_split50,tn_split67,tn_split33,tn_posi50,tn_posi67,tn_posi33,fp_naive,fp_split50,fp_split67,fp_split33,fp_posi50,fp_posi67,fp_posi33,fn_naive,fn_split50,fn_split67,fn_split33,fn_posi50,fn_posi67,fn_posi33,posttp_naive,posttp_split50,posttp_split67,posttp_split33,posttp_posi50,posttp_posi67,posttp_posi33,posttn_naive,posttn_split50,posttn_split67,posttn_split33,posttn_posi50,posttn_posi67,posttn_posi33,postfp_naive,postfp_split50,postfp_split67,postfp_split33,postfp_posi50,postfp_posi67,postfp_posi33,postfn_naive,postfn_split50,postfn_split67,postfn_split33,postfn_posi50,postfn_posi67,postfn_posi33,msetarget_naive,msetarget_split50,msetarget_split67,msetarget_split33,msetarget_posi50,msetarget_posi67,msetarget_posi33,msetruth_naive,msetruth_split50,msetruth_split67,msetruth_split33,msetruth_posi50,msetruth_posi67,msetruth_posi33,runtime_naive,runtime_split50,runtime_split67,runtime_split33,runtime_posi50,runtime_posi67,runtime_posi33,postcoverage_naive,postcoverage_split50,postcoverage_split67,postcoverage_split33,postcoverage_posi50,postcoverage_posi67,postcoverage_posi33,cseed
0,0.2,0.875,0.9,1.0,0.9545454545454546,0.85,0.75,0.8863636363636364,10.182526928591251,15.396249501322249,18.79644651536853,13.229123321986942,14.231098172343811,17.73323669829264,12.360079950780205,8,40,24,44,20,24,44,4,4,4,4,4,4,8,84,52,68,48,72,68,52,4,36,20,40,16,20,36,8,8,8,8,8,8,4,0,1,0,0,0,2,1,87,84,88,86,85,84,84,1,4,0,2,3,4,4,12,11,12,12,12,10,11,12.358901234093665,20.06290045083398,20.329941018539433,12.40962672647041,31.328619762047765,45.40182226354018,12.831985240617438,2.2885013291821776,9.767198809444158,5.4748931540233015,6.984695173114924,7.753246625945338,12.466101132878764,6.6244845107687045,0.08208310999907553,0.23829136998392642,0.21166196884587407,0.18738143099471927,175.35117113706656,187.23867592588067,934.8918322408572,0.07,0.36,0.24,0.41,0.17,0.19,0.39,1986
1,0.2,0.5,0.90625,0.95,0.9166666666666666,0.8055555555555556,0.8125,0.8571428571428571,10.001073621215179,15.301569416582316,18.51773011459663,12.990656572046644,14.306618863160041,17.123733148022172,11.878979160148743,4,32,20,36,36,16,56,4,8,8,12,4,4,4,88,64,76,64,56,76,36,0,24,12,24,32,12,52,8,4,4,0,8,8,8,3,0,2,2,1,2,1,88,85,87,87,83,87,81,0,3,1,1,5,1,7,9,12,10,10,11,10,11,58.08883364832346,21.63564546234555,36.09597547861291,17.4419561237994,27.074257963771622,35.170013643936954,16.1786045603851,3.624496602861735,8.385944232713186,8.189056777665702,6.279104204567785,11.55754701156351,7.150696574250367,10.82724222549181,0.205764917191118,2.0846801188308746,1.5469267801381648,2.7760274559259415,8354.915064573986,2535.632826640038,14070.3197891179,0.02,0.27,0.18,0.33,0.29,0.13,0.49,1987
2,0.2,0.75,0.8888888888888888,0.95,0.9166666666666666,0.8,0.8571428571428571,0.8125,10.416090565735859,15.49337265892504,18.465323936431105,13.438549223517994,14.59142418369149,17.057358581681385,11.655584312984194,20,36,20,48,40,28,48,8,12,8,12,8,4,8,76,64,76,52,56,64,48,12,24,12,36,32,24,40,4,0,4,0,4,8,4,2,1,2,3,0,0,2,82,85,87,86,83,84,82,6,3,1,2,5,4,6,10,11,10,9,12,12,10,19.17621671297715,20.890432781018056,28.77365190476786,15.603402634005917,26.415869141274516,34.79917589789784,14.805303051230817,4.5320757832737275,7.520555801166499,6.2666959810864205,7.4896332643228405,11.655493845639576,11.259260499614038,7.905194268536934,0.04741470096632838,0.03802047693170607,0.03581266477704048,0.03851283900439739,5301.9205633189995,2738.3745100351516,9219.714611992007,0.13,0.32,0.19,0.44,0.33,0.24,0.4,1988
3,0.2,0.8125,0.8611111111111112,0.9375,0.9038461538461539,0.90625,0.875,0.8833333333333333,10.360209187537404,15.20758685449177,19.30835578832237,13.563631835314219,14.29426258843346,17.124333568021978,12.516529679310645,16,36,32,52,32,16,60,8,4,8,4,4,4,8,80,56,64,40,60,76,36,8,32,24,48,28,12,52,4,8,4,8,8,8,4,2,1,0,1,2,2,2,86,83,86,84,85,87,82,2,5,2,4,3,1,6,10,11,12,11,10,10,10,16.98220835905598,32.12786348878697,23.63312591887297,15.655359957070106,24.237217271359143,28.11583124328596,14.109043585006859,3.2971090077232725,12.55321574666892,8.113221493763994,9.991730394304,9.339839183843463,5.567159234954553,9.030343374423078,0.3414994210470468,1.8541666308883578,2.1325899290386587,3.885513009969145,5856.277673033997,2329.663091420196,14154.211948402924,0.13,0.31,0.3,0.47,0.28,0.14,0.53,1989
4,0.2,0.75,0.9285714285714286,1.0,0.9642857142857143,0.9166666666666666,1.0,0.875,10.151632246332543,15.19426964318266,18.164422407980112,13.426972488292554,14.989383998422282,18.057409533630256,12.175740836163868,4,28,8,56,24,20,56,4,8,4,8,4,4,4,88,68,84,40,68,72,36,0,20,4,48,20,16,52,8,4,8,4,8,8,8,2,2,0,1,1,0,2,88,87,87,86,86,88,85,0,1,1,2,2,0,3,10,10,12,11,11,12,10,10.092004502180869,18.190916135793227,15.6323323906895,12.865467198812967,16.780516931636207,20.79053927575295,12.45578832679072,1.8425764454896327,5.878985953588569,2.8194881855967844,8.012825196734404,5.4303172651161775,5.447625387855384,8.373751960163233,0.0960471339058131,0.10512710688635707,0.040013398975133896,0.3241277551278472,1393.5217533668038,2034.0908920168877,3286.455514956033,0.03,0.26,0.07,0.54,0.22,0.2,0.52,1990
5,0.2,0.75,0.8611111111111112,0.9642857142857143,0.9464285714285714,0.875,0.96875,0.9230769230769231,10.248367655964891,15.501107113890905,19.158989707928868,13.484120482153255,14.334606192117649,17.286323269486097,12.084312015586114,8,36,28,56,32,32,52,4,4,8,12,12,12,8,84,56,68,44,68,68,44,4,32,20,44,20,20,44,8,8,4,0,0,0,4,4,2,2,4,3,4,2,87,83,87,85,85,88,83,1,5,1,3,3,0,5,8,10,10,8,9,8,10,13.262327940114211,22.24692590460511,27.536914799780792,16.449818230205008,20.330662529294667,17.120620350107,10.776524160458429,2.447293808556074,9.953250790900691,8.616166420453405,9.211898208914803,6.505812009374296,5.478598512034242,6.792710674165192,0.08628029190003872,1.6150686549954116,2.172647489933297,5.146192362066358,5985.331738553941,6134.611665509874,7802.846382128075,0.07,0.31,0.27,0.53,0.28,0.31,0.47,1991
6,0.2,0.875,0.8333333333333334,0.9375,0.8076923076923077,0.8863636363636364,0.85,0.8611111111111112,10.153722748414912,14.821232363514497,18.894723775172714,13.289572222878796,14.112190326632735,17.524424837811328,12.395730496787316,8,24,32,52,44,20,72,8,8,12,8,8,8,12,88,72,68,44,52,76,28,0,16,20,44,36,12,60,4,4,0,4,4,4,0,4,3,3,3,3,2,5,88,86,86,78,85,86,79,0,2,2,10,3,2,9,8,9,9,9,9,10,7,16.393987009458506,22.638518497994454,31.065370709694356,21.85328424335703,22.78632513833328,43.94237457345264,16.958480034503516,2.1362313085731284,6.00339308691736,9.94091862710219,12.422133552219936,10.769251667370058,9.462896505469804,12.210105624842528,0.3725358590018004,1.3781497918535024,3.1099343469832093,4.851972712902352,12522.727724845987,4462.265694946051,8610.112546277,0.07,0.21,0.3,0.41,0.39,0.17,0.62,1992
7,0.2,0.75,0.9642857142857143,0.9,0.9090909090909091,0.8571428571428571,0.8333333333333334,0.9605263157894737,10.161214039915766,15.098165072019054,18.593295178379837,13.198665749912736,14.324657158894238,17.743212358986295,12.676519563493303,8,28,20,44,28,12,76,8,12,8,8,8,8,12,88,72,76,52,68,84,24,0,16,12,36,20,4,64,4,0,4,4,4,4,0,5,4,2,2,4,2,5,88,87,88,84,87,87,85,0,1,0,4,1,1,3,7,8,10,10,8,10,7,12.220458370711771,14.305220430376473,29.807515919994785,12.550602953280867,23.095523579821773,36.70340756379089,10.277556027438958,1.6015463545220845,4.005461720505411,6.173128292823723,6.467600056726505,7.212279255860947,5.141522141106816,7.810942580853609,0.10339362686499953,0.09772590384818614,0.09686503396369517,0.30636197701096535,725.1128108948469,837.4808190299664,348.5110607689712,0.07,0.27,0.18,0.4,0.24,0.1,0.73,1993
8,0.2,0.6875,0.90625,0.7857142857142857,0.875,0.90625,0.8333333333333334,0.8571428571428571,10.327327440515258,15.099600880388492,18.620882147738296,13.345880609314376,14.252959206402515,16.870657119599446,12.398408989581494,16,32,28,48,32,24,56,4,4,4,4,8,0,8,76,60,64,44,64,64,40,12,28,24,44,24,24,48,8,8,8,8,4,12,4,3,1,0,0,1,0,2,84,85,84,84,85,84,81,4,3,4,4,3,4,7,9,11,12,12,11,12,10,24.785266734895128,19.379048880659006,44.30077057426155,17.44542642516008,18.53319305639164,30.48191179849227,16.909514805698407,5.278341958876434,7.786287076041628,13.352158477244373,10.361613782725417,6.389511808110858,9.356899753953389,10.297077798391513,0.5844604240264744,2.9256037960294634,2.62456959602423,4.743358263047412,6508.681830527028,2778.8394518659916,15194.711437535007,0.11,0.29,0.23,0.43,0.29,0.2,0.48,1994
9,0.2,0.875,0.8863636363636364,0.875,0.8541666666666666,0.875,1.0,0.8026315789473685,10.225509502300337,15.597770972807842,18.19086421271655,13.251770877265765,14.390196869293291,17.624235238942475,11.741162696625958,8,44,16,48,48,20,76,4,4,8,8,4,4,12,84,48,80,48,44,72,24,4,40,8,40,44,16,64,8,8,4,4,8,8,0,2,0,1,3,1,1,3,87,83,87,83,82,88,74,1,5,1,5,6,0,14,10,12,11,9,11,11,9,8.105572408717954,21.763506668412997,35.1009172145195,18.356863851819732,22.64508771045313,15.486605934273706,15.909050018518403,2.1802876277599395,12.346576074341861,6.57666243841783,9.449429555972387,12.329757471300693,4.6224590562220405,12.090878014073988,0.5205017349217087,2.890508071053773,0.6044051051139832,3.099271271843463,14085.885248260107,4372.390046286164,12535.327509627212,0.07,0.39,0.14,0.41,0.42,0.2,0.61,1995
