,Signal_Upper,coverage_naive,coverage_split50,coverage_split67,coverage_split33,coverage_posi50,coverage_posi67,coverage_posi33,length_naive,length_split50,length_split67,length_split33,length_posi50,length_posi67,length_posi33,nnz_naive,nnz_split50,nnz_split67,nnz_split33,nnz_posi50,nnz_posi67,nnz_posi33,tp_naive,tp_split50,tp_split67,tp_split33,tp_posi50,tp_posi67,tp_posi33,tn_naive,tn_split50,tn_split67,tn_split33,tn_posi50,tn_posi67,tn_posi33,fp_naive,fp_split50,fp_split67,fp_split33,fp_posi50,fp_posi67,fp_posi33,fn_naive,fn_split50,fn_split67,fn_split33,fn_posi50,fn_posi67,fn_posi33,posttp_naive,posttp_split50,posttp_split67,posttp_split33,posttp_posi50,posttp_posi67,posttp_posi33,posttn_naive,posttn_split50,posttn_split67,posttn_split33,posttn_posi50,posttn_posi67,posttn_posi33,postfp_naive,postfp_split50,postfp_split67,postfp_split33,postfp_posi50,postfp_posi67,postfp_posi33,postfn_naive,postfn_split50,postfn_split67,postfn_split33,postfn_posi50,postfn_posi67,postfn_posi33,msetarget_naive,msetarget_split50,msetarget_split67,msetarget_split33,msetarget_posi50,msetarget_posi67,msetarget_posi33,msetruth_naive,msetruth_split50,msetruth_split67,msetruth_split33,msetruth_posi50,msetruth_posi67,msetruth_posi33,runtime_naive,runtime_split50,runtime_split67,runtime_split33,runtime_posi50,runtime_posi67,runtime_posi33,postcoverage_naive,postcoverage_split50,postcoverage_split67,postcoverage_split33,postcoverage_posi50,postcoverage_posi67,postcoverage_posi33,cseed
0,0.2,0.6666666666666666,0.8723404255319149,0.7272727272727273,0.9125,0.8478260869565217,0.9230769230769231,0.85,10.24935422640186,15.77724227275502,18.814795031058175,14.20623102477765,14.186454229308286,17.382031826047744,12.497143103498493,12,47,22,80,46,26,60,5,9,5,9,4,5,12,81,50,71,17,46,67,40,7,38,17,71,42,21,48,7,3,7,3,8,7,0,2,1,1,2,2,1,3,85,82,83,81,82,87,80,3,6,5,7,6,1,8,10,11,11,10,10,11,9,17.543187788831688,23.344985881276916,52.92873164856105,18.626719603919607,22.2580938209344,23.819955011752246,18.622535277353737,2.2959529387521567,11.010077669598573,12.043469961021993,14.985979575787546,11.267737893610043,6.45405365701605,11.173521166412243,0.044969749986194074,0.09328074101358652,0.04065833002096042,0.836709157039877,22787.735004837974,9127.866997622012,19033.304485306027,0.08,0.4,0.16,0.73,0.39,0.24,0.51,1986
1,0.2,0.8421052631578947,0.9354838709677419,0.9487179487179487,0.8679245283018868,0.7254901960784313,0.7954545454545454,0.7666666666666667,10.371616387563403,15.279474883418311,20.194196782557835,13.406881680043998,13.681699934573258,17.065251815401826,11.898216131064633,19,31,39,53,51,44,90,9,5,9,9,9,5,9,78,62,58,44,46,49,7,10,26,30,44,42,39,81,3,7,3,3,3,7,3,3,2,0,5,2,2,4,86,87,87,82,78,81,69,2,1,1,6,10,7,19,9,10,12,7,10,10,8,12.749318136335422,17.698019197867186,30.528823033261105,20.441838936077627,25.914869819828734,35.00880981806695,18.642837038311782,2.4394205235878674,5.6775860441361035,11.940014192460977,10.885245753629883,13.247666881913933,15.6994970640074,16.753488596100965,0.07256974885240197,0.1893784438725561,2.013621344929561,7.639775106916204,22249.38685624604,20218.745179499965,36888.385145707056,0.16,0.3,0.37,0.46,0.38,0.35,0.69,1987
2,0.2,0.8,0.9787234042553191,0.875,0.9692307692307692,0.8472222222222222,1.0,0.8709677419354839,10.325130304667766,15.830952290808193,18.759529669284817,13.75950198218681,13.762994503228269,16.573517024410496,12.495413195129352,15,47,24,65,72,15,62,5,5,5,9,9,5,12,78,46,69,32,25,78,38,10,42,19,56,63,10,50,7,7,7,3,3,7,0,4,2,1,1,2,1,2,85,87,88,86,77,88,82,3,1,0,2,11,0,6,8,10,11,11,10,11,10,11.334330316364511,14.706432315088405,27.929045215181294,13.700743479230693,19.311232022189554,13.137395790662229,14.440677462029026,1.8512198459951685,7.097197147599459,6.617793828627928,8.891156574546452,13.972482436709079,2.197872896522929,8.953220026457997,0.14982301299460232,1.736407234100625,0.9870296500157565,8.991165723884478,48032.96381831099,2441.6953373239376,25077.26448883093,0.12,0.46,0.22,0.63,0.61,0.15,0.54,1988
3,0.2,0.6666666666666666,0.8611111111111112,0.9310344827586207,0.8064516129032258,0.8703703703703703,0.7777777777777778,0.7887323943661971,10.010231682815784,15.25017659651265,19.072810772294776,13.717147793583631,14.063184786506513,17.158368568849916,11.817056954300849,3,36,29,62,54,36,71,0,4,4,12,8,0,0,85,56,63,38,42,52,17,3,32,25,50,46,36,71,12,8,8,0,4,12,12,0,0,1,0,2,0,0,87,84,86,77,80,81,73,1,4,2,11,8,7,15,12,12,11,12,10,12,12,20.57896080744398,21.456910956015264,32.87190238057961,21.32307667118816,19.5843985688485,48.36376831481877,19.96507361229147,1.3246166283720588,8.53831635992624,10.82209269957012,13.22030753613666,10.817656200589228,17.815433679612802,15.345655534826637,0.30362122994847596,0.29842584510333836,0.2783146151341498,0.40023811999708414,3275.433356274152,5232.944937163964,5242.883401196217,0.02,0.32,0.27,0.5,0.46,0.29,0.56,1989
4,0.2,0.7777777777777778,0.9302325581395349,0.9310344827586207,0.8627450980392157,0.88,0.875,0.8210526315789474,10.174333552196094,15.542037132748131,19.305386663048917,13.344942901624169,13.428041243597896,17.105690735482682,11.990532724163476,9,43,29,51,75,16,95,0,0,5,12,9,0,12,79,45,64,49,22,72,5,9,43,24,39,66,16,83,12,12,7,0,3,12,0,0,0,1,1,0,0,4,85,86,87,84,80,85,73,3,2,1,4,8,3,15,12,12,11,11,12,12,8,21.882154255731745,18.66738500361266,35.939764289559534,19.163235221940894,16.02639641469331,33.144507352957696,17.553534163921757,2.954180711262235,9.177385706090405,10.55664396571714,9.773249963189853,12.032923020065173,6.628656948990688,16.675857455725676,0.4897262919694185,0.6142337650526315,0.6463171259965748,1.4609616368543357,10094.7888683239,433.85843984317034,3661.181261811871,0.06,0.41,0.26,0.44,0.66,0.13,0.78,1990
5,0.2,0.8148148148148148,0.9333333333333333,0.8571428571428571,0.8285714285714286,0.9142857142857143,0.8571428571428571,0.8928571428571429,10.447319337776937,16.421225780880597,19.190965639472147,13.9398186194531,14.12103895527716,17.14065867216472,12.176573582724762,27,60,28,70,70,42,84,12,8,9,7,12,12,12,73,36,69,25,30,58,16,15,52,19,63,58,30,72,0,4,3,5,0,0,0,5,1,2,1,5,2,6,85,85,86,77,84,84,81,3,3,2,11,4,4,7,7,11,10,11,7,10,6,18.52393209952624,23.352967829069577,51.585669994352386,22.455118936061876,17.298697138437003,31.202674519110676,17.477362681682937,5.001461666872087,14.349864205498013,14.370293020040307,16.79799599819303,12.1090879969059,13.105123298026488,14.680984652613672,0.3032314549200237,0.303549453150481,0.29222534503787756,0.34084994811564684,10067.511116541922,3031.245585209923,1102.7415861948393,0.22,0.57,0.24,0.58,0.64,0.36,0.75,1991
6,0.2,0.7857142857142857,0.9534883720930233,0.8947368421052632,0.9016393442622951,0.9111111111111111,0.9130434782608695,0.8857142857142857,10.233036893879262,15.648470326608628,18.155312471644123,13.597279191691717,14.101475308525181,17.528646797691454,12.316677337525224,14,43,19,61,45,23,70,9,9,9,7,8,9,9,83,54,78,34,51,74,27,5,34,10,54,37,14,61,3,3,3,5,4,3,3,2,1,2,2,2,4,4,87,88,87,84,85,87,83,1,0,1,4,3,1,5,10,11,10,10,10,8,8,19.11374505838166,13.964945335408899,35.36495971402123,18.691990821106657,15.011212445173667,32.39806718627314,13.200018947334765,2.6665372536659944,5.984811901326675,6.682227347300288,11.630814996553841,6.915392952514419,7.445938530600871,9.210627440582162,0.3142707801889628,1.934570220997557,0.4508592530619353,9.01317630102858,25615.306088910904,5328.391807180131,41715.76128519606,0.11,0.41,0.17,0.56,0.41,0.21,0.63,1992
7,0.2,0.7241379310344828,0.803921568627451,0.8235294117647058,0.8076923076923077,0.8,0.8809523809523809,0.8043478260869565,10.469514211732498,15.918836536363028,19.235687061502688,13.415328697881076,13.771788297917901,16.821369296525468,12.33521189652384,29,51,34,52,55,42,92,5,5,5,4,12,5,12,64,42,59,40,45,51,8,24,46,29,48,43,37,80,7,7,7,8,0,7,0,2,2,0,0,1,1,2,82,78,83,80,77,84,71,6,10,5,8,11,4,17,10,10,12,12,11,11,10,18.109385394203706,29.082529005159902,50.3724567708434,22.024056884654026,27.79523012653512,29.959213108059114,19.445060053573073,5.377670323675666,14.605264270189895,17.269888307041448,12.879611647337056,15.287376569594317,12.612789347143973,17.889455249287224,0.21653397707268596,0.17935024993494153,0.2435993840917945,0.3644924908876419,6159.939026830019,7157.839727070881,4508.313609343022,0.23,0.41,0.28,0.43,0.44,0.37,0.74,1993
8,0.2,0.6666666666666666,0.9821428571428571,0.7777777777777778,0.8392857142857143,0.8666666666666667,0.8666666666666667,0.8461538461538461,10.291296052498604,16.372587620316104,17.663875365333475,13.599451306126152,14.050297859123713,17.661457993045747,12.400292522435818,18,56,9,56,45,45,78,4,3,4,7,12,7,12,74,35,83,39,55,50,22,14,53,5,49,33,38,66,8,9,8,5,0,5,0,1,0,2,3,3,1,1,83,87,87,79,84,84,77,5,1,1,9,4,4,11,11,12,10,9,9,11,11,20.92381631162752,14.612913254661285,41.39095638897071,21.489344188653888,23.313446970774496,23.935299859134457,16.47351987730993,4.404113960072599,9.223952244950507,4.1757811553971065,12.1516455481345,10.491051136848524,11.247070689332832,12.849345504301747,0.24383635399863124,6.49876318895258,2.1385540917981416,9.625575924990699,14191.38662758004,20542.90355127887,39955.687145123025,0.12,0.55,0.07,0.46,0.39,0.4,0.66,1994
9,0.2,0.8125,0.8333333333333334,0.75,0.9285714285714286,0.78125,1.0,0.8412698412698413,10.305776222389419,15.612377635918314,18.941333885548293,13.883475095531113,14.170734241589539,17.622050185342484,12.248454527663888,16,36,24,70,32,26,63,9,4,9,9,9,9,12,81,56,73,27,65,71,37,7,32,15,61,23,17,51,3,8,3,3,3,3,0,2,1,1,2,1,0,2,86,84,85,84,84,88,80,2,4,3,4,4,0,8,10,11,11,10,11,12,10,14.351408760538124,30.525742600894116,45.86256553654312,16.222799862275988,25.528600228469372,13.904525660978015,15.84525074492683,2.3004185161688024,12.479189817990306,11.000872474495502,11.29357660637354,8.112186328759408,3.654189362676585,9.982507969303901,0.1516947951167822,0.9980188279878348,0.7349927159957588,6.224401172017679,9877.129589422839,9897.055374153191,34714.52448913595,0.13,0.3,0.19,0.65,0.26,0.26,0.53,1995
