,Signal_Fac,coverage_naive,coverage_split50,coverage_split67,coverage_split33,coverage_posi50,coverage_posi67,coverage_posi33,length_naive,length_split50,length_split67,length_split33,length_posi50,length_posi67,length_posi33,nnz_naive,nnz_split50,nnz_split67,nnz_split33,nnz_posi50,nnz_posi67,nnz_posi33,tp_naive,tp_split50,tp_split67,tp_split33,tp_posi50,tp_posi67,tp_posi33,tn_naive,tn_split50,tn_split67,tn_split33,tn_posi50,tn_posi67,tn_posi33,fp_naive,fp_split50,fp_split67,fp_split33,fp_posi50,fp_posi67,fp_posi33,fn_naive,fn_split50,fn_split67,fn_split33,fn_posi50,fn_posi67,fn_posi33,posttp_naive,posttp_split50,posttp_split67,posttp_split33,posttp_posi50,posttp_posi67,posttp_posi33,posttn_naive,posttn_split50,posttn_split67,posttn_split33,posttn_posi50,posttn_posi67,posttn_posi33,postfp_naive,postfp_split50,postfp_split67,postfp_split33,postfp_posi50,postfp_posi67,postfp_posi33,postfn_naive,postfn_split50,postfn_split67,postfn_split33,postfn_posi50,postfn_posi67,postfn_posi33,msetarget_naive,msetarget_split50,msetarget_split67,msetarget_split33,msetarget_posi50,msetarget_posi67,msetarget_posi33,msetruth_naive,msetruth_split50,msetruth_split67,msetruth_split33,msetruth_posi50,msetruth_posi67,msetruth_posi33,runtime_naive,runtime_split50,runtime_split67,runtime_split33,runtime_posi50,runtime_posi67,runtime_posi33,postcoverage_naive,postcoverage_split50,postcoverage_split67,postcoverage_split33,postcoverage_posi50,postcoverage_posi67,postcoverage_posi33,cseed
0,0.2,0.8,0.8974358974358975,0.95,0.8870967741935484,0.85,0.8611111111111112,0.8260869565217391,10.227009550489482,15.416908031479137,18.764026552137437,13.660914807502973,14.983439275135328,18.76268780931789,12.602330868139301,15,39,20,62,40,36,69,4,4,8,7,4,8,8,82,58,81,38,57,65,32,11,35,12,55,36,28,61,6,6,2,3,6,2,2,2,1,2,1,0,0,0,90,88,93,87,88,86,81,3,5,0,6,5,7,12,8,9,8,9,10,10,10,23.859319569045628,21.931493550561854,32.64760216524087,16.62052877428233,33.16592933109939,45.63912632007925,20.429492935504634,4.460354140473995,9.906280290679925,6.460317283570429,10.852995308319365,13.66915525420105,16.201327484253607,13.91413908623575,0.08089429698884487,0.22962575894780457,0.5233452550601214,16.717123650945723,13798.765983588994,11879.351676342776,30029.808450985933,0.11650485436893204,0.3300970873786408,0.18446601941747573,0.5242718446601942,0.33980582524271846,0.2815533980582524,0.5533980582524272,1986
1,0.2,0.875,0.8947368421052632,0.8421052631578947,0.8846153846153846,0.8484848484848485,0.9615384615384616,0.88,10.209585596530232,15.390443621467677,18.11359252868783,13.377016995041714,15.2972188952306,18.93195405025709,12.561206866545657,8,38,19,52,33,26,75,8,8,8,8,8,8,8,93,63,82,49,68,75,26,0,30,11,44,25,18,67,2,2,2,2,2,2,2,5,2,3,3,1,4,5,93,89,92,86,88,93,85,0,4,1,7,5,0,8,5,8,7,7,9,6,5,10.756221926061388,20.983655655356635,45.397660945480496,16.243796703405792,24.67734236692123,27.462829106491114,16.48517484612238,1.1758030848089658,8.160878371255565,9.222638059412636,8.878960859801031,8.399612765868383,7.15281994691789,12.158889377228359,0.058190852869302034,0.05800490500405431,0.051914201118052006,0.06837373808957636,17776.303867432987,16216.864712904906,53619.72693415801,0.06796116504854369,0.32038834951456313,0.1553398058252427,0.42718446601941745,0.27184466019417475,0.2524271844660194,0.6407766990291263,1987
2,0.2,0.6,0.8484848484848485,0.8421052631578947,0.875,0.7894736842105263,0.8461538461538461,0.8235294117647058,10.325168109854932,15.341699642428594,18.653073030799153,13.385581358122087,15.184276369130513,18.580636195378105,12.186052140393718,15,33,19,48,38,26,85,7,10,7,8,10,10,10,85,70,81,53,65,77,18,8,23,12,40,28,16,75,3,0,3,2,0,0,0,5,4,3,4,4,5,6,89,91,91,91,89,91,80,4,2,2,2,4,2,13,5,6,7,6,6,5,4,28.142086705928957,24.21076862554151,29.122762416937682,21.330719285532087,30.916175094552212,43.63061091414941,21.442688484494845,4.76560715403873,7.756848200416214,6.283451487924499,10.464175925381479,11.405967510611491,11.013552269591111,17.69542253574817,0.4508073260076344,0.6560013841371983,0.3409128268249333,2.092569930013269,5422.719497408951,4036.3897319789976,12369.764438278042,0.06796116504854369,0.27184466019417475,0.1553398058252427,0.39805825242718446,0.2912621359223301,0.21359223300970873,0.6796116504854369,1988
3,0.2,0.75,0.8709677419354839,1.0,0.9038461538461539,0.9117647058823529,1.0,0.7857142857142857,10.073050349693727,15.155453128143268,17.481697602530744,13.310051573576045,15.017285494927899,19.502980314884656,12.489385719946569,4,31,8,52,34,12,70,4,8,8,10,7,8,7,93,70,93,51,66,89,30,0,23,0,42,27,4,63,6,2,2,0,3,2,3,1,2,1,2,0,0,1,93,92,93,90,91,93,81,0,1,0,3,2,0,12,9,8,9,8,10,10,9,9.160557352602119,22.98403132921601,29.161839761090373,18.7158243327183,15.483562514378233,10.047187118345185,20.492962410993503,1.4124147767600552,7.517076285925418,2.731280790544982,9.448765682537388,5.580895189233713,1.554352767502341,14.568020420462476,0.5338683428708464,0.48103340109810233,0.5278536090627313,1.4797647239174694,6130.873685270082,609.3313010409474,10620.841290631099,0.02912621359223301,0.27184466019417475,0.07766990291262135,0.4563106796116505,0.30097087378640774,0.11650485436893204,0.5533980582524272,1989
4,0.2,0.7391304347826086,0.8780487804878049,0.8780487804878049,0.8775510204081632,0.7755102040816326,0.8947368421052632,0.8870967741935484,10.390683160595868,15.453755701567324,19.83599495890072,13.344537398810864,14.725441941037516,19.456984526438426,12.155637710085765,23,41,41,49,49,19,62,4,8,7,4,7,1,7,74,60,59,48,51,75,38,19,33,34,45,42,18,55,6,2,3,6,3,9,3,2,2,1,1,1,0,1,87,92,88,88,82,90,86,6,1,5,5,11,3,7,8,8,9,9,9,10,9,21.884825615065935,26.010271702410076,42.08666735578286,16.361242392686524,26.65684877639354,37.2094644131044,17.419266601741114,5.737406526996371,10.553213232375079,16.374248293833524,8.860786624149355,13.071743543930637,8.55192470767092,10.917662468646052,0.5562806911766529,0.46070170891471207,0.6721730870194733,1.3435440750326961,10172.316752651008,3687.624581176089,7909.666384546086,0.1650485436893204,0.36893203883495146,0.34951456310679613,0.4174757281553398,0.36893203883495146,0.1553398058252427,0.5339805825242718,1990
5,0.2,0.75,0.9259259259259259,0.8888888888888888,0.9107142857142857,0.8837209302325582,1.0,0.875,10.275468256787352,15.177216610439869,19.15348042851131,13.510635490956004,15.089419858701675,19.277731335933595,12.48595202555102,8,27,27,56,43,16,64,0,0,4,4,5,0,10,85,66,70,41,55,77,39,8,27,23,52,38,16,54,10,10,6,6,5,10,0,0,0,1,0,0,0,1,90,91,93,88,89,93,85,3,2,0,5,4,0,8,10,10,9,10,10,10,9,21.293333030424588,14.696592956055284,30.495492391808273,13.981655075468158,19.647401729807914,25.929232993957434,16.08878172993245,3.3701373076339265,5.573685022835639,8.473491189057794,8.730025996515595,9.352183131874826,5.601221268910468,9.996912919569679,0.35297557804733515,0.7759372100699693,1.0672308409120888,3.0350660081021488,4310.914240541868,1343.174088431988,13037.348974040942,0.04854368932038835,0.24271844660194175,0.24271844660194175,0.49514563106796117,0.36893203883495146,0.1553398058252427,0.5436893203883495,1991
6,0.2,0.75,0.9347826086956522,1.0,0.9523809523809523,0.8780487804878049,0.967741935483871,0.8857142857142857,10.242130900442199,15.771187601925023,18.702868794985633,13.678049225139507,14.892573569125142,18.594801427681595,12.55821718099425,12,46,27,63,41,31,70,8,7,8,8,8,8,10,89,54,74,38,60,70,33,4,39,19,55,33,23,60,2,3,2,2,2,2,0,6,2,3,4,3,3,5,91,90,93,91,89,93,86,2,3,0,2,4,0,7,4,8,7,6,7,7,5,16.97065285054584,24.750293915037737,14.228721522788307,10.956629294538745,20.74729226745358,22.016721292552923,14.520373374840812,2.45333394262545,11.460187857365115,4.160762925180489,7.168471306408323,8.575991957708483,7.316789984843461,9.868214914940356,0.3279681699350476,4.173112848075107,4.090815644944087,13.535562554141507,14086.937422850868,8254.067982038017,36266.49188029603,0.08737864077669903,0.4174757281553398,0.2621359223300971,0.5631067961165048,0.34951456310679613,0.2912621359223301,0.6019417475728155,1992
7,0.2,0.75,0.9428571428571428,0.8974358974358975,0.9387755102040817,0.8571428571428571,0.85,0.8421052631578947,10.314890512598359,15.21888363314021,19.835422594016617,13.326778242765808,14.935220495524474,19.10634127130084,12.7481976886064,20,35,39,49,56,20,57,4,4,4,4,4,4,4,77,62,58,48,41,77,40,16,31,35,45,52,16,53,6,6,6,6,6,6,6,3,0,0,3,1,0,1,85,91,88,89,85,90,86,8,2,5,4,8,3,7,7,10,10,7,9,10,9,18.505699350716032,14.908041654387521,40.31534695918125,18.807842764529305,23.777668359445215,36.492647465244296,20.62525970518846,4.604818525492303,5.933676568113923,16.352220705522242,9.841756742967423,13.632290162168914,7.905697621340382,12.230634879313577,2.37066735397093,6.129775938112289,7.876293674809858,10.6384211180266,24453.419028699864,3184.5736271999776,26050.214497223962,0.11650485436893204,0.32038834951456313,0.3300970873786408,0.42718446601941745,0.46601941747572817,0.1650485436893204,0.4854368932038835,1993
8,0.2,0.7333333333333333,0.9722222222222222,0.7,0.8363636363636363,0.868421052631579,0.9642857142857143,0.8939393939393939,10.229187763835407,15.387115000698563,18.66917094470761,13.316292409349796,15.499969200136762,19.455048421611703,12.786764028103782,15,36,20,55,38,28,66,4,0,8,5,4,5,10,82,57,81,43,59,70,37,11,36,12,50,34,23,56,6,10,2,5,6,5,0,1,0,1,0,0,0,3,90,92,91,85,88,91,87,3,1,2,8,5,2,6,9,10,9,10,10,10,7,17.64539095266439,14.162890763988612,60.113084606539864,20.042998542224733,20.34214859928843,29.565364758199166,15.54980743827421,3.6619255209186377,7.231093418115447,12.438134678633476,11.563627661466704,8.459433531533664,9.123918648944786,9.9639542808359,0.44789068098179996,3.386865380918607,4.370116668986157,13.935259622056037,13790.753112251172,6061.218444517115,31757.271904455964,0.10679611650485436,0.33980582524271846,0.13592233009708737,0.44660194174757284,0.32038834951456313,0.2524271844660194,0.5728155339805825,1994
9,0.2,0.7333333333333333,0.8333333333333334,0.9583333333333334,0.9117647058823529,0.8717948717948718,0.9393939393939394,0.7818181818181819,10.303302787249889,15.354590675182743,18.675027997503275,13.91871308598451,15.153337487015623,18.30641303723956,12.342029717217175,15,30,24,68,39,33,55,8,8,5,7,8,10,8,86,71,74,32,62,70,46,7,22,19,61,31,23,47,2,2,5,3,2,0,2,3,3,0,0,2,1,3,91,91,91,87,90,91,86,2,2,2,6,3,2,7,7,7,10,10,8,9,7,19.97820500386663,28.542045665732925,22.65742727875795,16.794574398342515,23.518539326599438,26.526106432479157,19.938656572879587,3.321350884551542,8.794671646193343,7.530442321211674,12.03734819490745,8.975046032412278,8.49865545894963,11.238105812855611,0.41547549003735185,3.0078444769605994,5.033675604034215,19.315637653926387,13828.876973438077,9548.315397674916,28142.539699186105,0.10679611650485436,0.24271844660194175,0.21359223300970873,0.6019417475728155,0.3300970873786408,0.30097087378640774,0.42718446601941745,1995
