,SGroup,Signal,coverage_naive,coverage_split,coverage_posi,length_naive,length_split,length_posi
0,3,0.5,,,0.75,,,4.595103997603417
1,3,0.5,1.0,1.0,1.0,3.8174013821014077,5.092764168700533,4.181573709319645
2,3,0.5,0.75,,0.75,3.7317912771867334,,3.985193816583398
3,3,0.5,0.875,0.75,1.0,3.6018469380480056,5.114484575473071,3.983451237834239
4,3,0.5,,,1.0,,,4.381467106542276
5,3,0.5,1.0,,1.0,3.630316271040945,,3.8511293378476728
6,3,0.5,0.75,1.0,1.0,3.743705840489219,5.346028120965681,3.9405875501595866
7,3,0.5,,,,,,
8,3,0.5,0.5,0.75,0.5,3.725300855600149,5.238453872406324,3.689602589498513
9,3,0.5,0.75,1.0,1.0,3.7178815050403076,5.417341285942652,3.85964336555965
10,3,0.5,1.0,,1.0,3.658409318067455,,3.823136158245841
11,3,0.5,,,0.75,,,4.2445966397784485
12,3,0.5,0.75,,0.75,3.604250150891836,,3.9958354848920514
13,3,0.5,1.0,1.0,1.0,3.60004651227662,5.072984362325555,4.008766054024196
14,3,0.5,,,,,,
15,3,0.5,,,,,,
16,3,0.5,1.0,1.0,1.0,3.6886900349383787,5.0721024088712054,4.155506075025771
17,3,0.5,,,1.0,,,4.326197899758106
18,3,0.5,1.0,,1.0,3.9457791440638976,,4.212360582654529
19,3,0.5,,,,,,
20,3,0.5,,,,,,
21,3,0.5,,,,,,
22,3,0.5,,,,,,
23,3,0.5,0.75,0.75,0.75,3.578385360018718,5.230891007543782,4.367856091231519
24,3,0.5,,1.0,,,5.600380664924297,
25,3,0.5,1.0,,1.0,3.6464361601347033,,4.168577065947689
26,3,0.5,,,,,,
27,3,0.5,0.75,1.0,0.75,3.708005659287619,5.458765610081933,3.970647935780172
28,3,0.5,1.0,1.0,1.0,3.8865716647937925,5.706885317443014,3.9972552600506406
29,3,0.5,,,,,,
30,3,0.5,1.0,,1.0,3.8509965535775597,,4.183138773012485
31,3,0.5,0.75,,1.0,3.401409651621302,,3.7077446593761856
32,3,0.5,0.5,,1.0,3.6455051020439937,,4.253531262623466
33,3,0.5,,,,,,
34,3,0.5,,,0.75,,,4.158687863541295
35,3,0.5,1.0,1.0,1.0,3.9227284005576277,5.251750435154274,4.104847478116617
36,3,0.5,0.875,0.875,0.75,3.5306767509671375,5.129417009396249,3.6179235307746618
37,3,0.5,0.75,,,3.6715159914528157,,
38,3,0.5,1.0,,1.0,3.793178277168821,,4.320561003222572
39,3,0.5,,0.5,1.0,,5.318138811965184,4.183010047323023
40,3,0.5,,,1.0,,,4.257059626464328
41,3,0.5,1.0,,0.875,3.688205650111894,,4.1256569232009515
42,3,0.5,,,,,,
43,3,0.5,1.0,1.0,1.0,4.072734400732785,5.730163842208764,4.5809811262826425
44,3,0.5,,,,,,
45,3,0.5,,,,,,
46,3,0.5,,,1.0,,,4.461339140766319
47,3,0.5,0.75,,0.5,3.5685864699101573,,4.253674934493677
48,3,0.5,1.0,,,3.8059817133440843,,
49,3,0.5,,,,,,
50,3,0.5,,,,,,
51,3,0.5,,,1.0,,,4.54077309910989
52,3,0.5,1.0,,1.0,3.4255840576742096,,3.6745032928687227
53,3,0.5,1.0,,1.0,3.6455845612765394,,4.031793028591311
54,3,0.5,1.0,1.0,1.0,3.7108563019374023,5.025065729557036,3.9666221049950483
55,3,0.5,1.0,,1.0,3.6535790456202615,,4.136126840230601
56,3,0.5,,1.0,1.0,,5.842145896798206,4.332330785112412
57,3,0.5,,1.0,,,5.312850072131999,
58,3,0.5,1.0,0.875,1.0,3.7690583229832972,5.143267532446663,4.118484519439761
59,3,0.5,1.0,0.75,0.75,3.527365846677786,5.0076807274351065,4.193781832378139
60,3,0.5,,,,,,
